item_code,item_name,decision,correct_product_name,correct_product_name_ar
48218,NEURIMAX 6 I.M. AMP.,auto_matched,NEURIMAX 6 MG AMP,نيوريماكس 2 مجم 6 امبول عضل
19194,NEURONTIN 300MG 20CAP,auto_matched,NEURONTIN 300 MG 20 CAPS.,نيورونتين 300 مجم 20 كبسول
73227,NEUROTON 30 TABS,approved_match,NEUROTON 30 TABS,نيوروتون 30 اقراص
73602,NEUROTON 6 AMP,approved_match,NEUROTON 6 AMP.,نيوروتون 6 امبول
77794,NEUROVIT 30 SUGAR C. TABS,auto_matched,NEUROVIT 30 SUGAR C.TABS.,نيوروفيت 30 اقراص
78192,NEUROVIT 6 I.M. AMPS.,auto_matched,NEUROVIT 6 I.M. AMPS.,نيوروفيت 6 امبول
84665,NEXATIC 6 SACHETS,auto_matched,NEXATIC 6 SACHET,نيكساتيك 6 كيس
86861,NEXIBRONCH SYRUP 200 ML,auto_matched,NEXIBRONCH 200 ML WITH HONEY,نكسيبرونش 200 مل شراب مع العسل
89346,NEXICURE 10 MG 14 SACHETS,auto_matched,NEXICURE 10 MG 14 SACHETS,نيكسيكيور 10 مجم 14 اكياس
92350,NEXICURE 40 MG 30 TABS,auto_matched,NEXICURE 40 MG 30 TABS,نيكسيكيور 40 مجم 30 اقراص
90282,NEXICURE 5 MG 28 SAC,auto_matched,NEXICURE 5 MG 28 SACHETS,نيكسيكيور 5 مجم 28 اكياس
91851,NEXICURE PLUS 40/1680 MG 14 SACHETS 14 PACKET,auto_matched,NEXICURE PLUS 40 MG / 1680 MG 14 SACHETS,نيكسيكيور بلس 40 / 1680 مجم 14 اكياس
78376,NEXIUM 20 MG 28 F.C TABS.,auto_matched,NEXIUM 20 MG 28 F.C. TAB.,نيكسيوم 20 مجم 28 اقراص
78258,NEXIUM 40 MG 28 TABS,auto_matched,NEXIUM 40 MG 28 F.C.TABS.,نيكسيوم 40 مجم 28 اقراص
85291,NIGHT CALM 3 GM 30 TAB,auto_matched,NIGHT CALM 3 MG 30 F.C. TABS,نايت كالم 3 مجم 30 اقراص
8897,NITROMAK RETARD 2.5MG 60 CAP,auto_matched,NITROMAK RETARD 2.5 MG 60 CAPS.,نيتروماك ريتارد 2.5 مجم 60 كبسول
20395,NITROTARD 2.5 MG- 60 CAP,auto_matched,NITROTARD 2.5 MG 60 CAPS.,نيتروتارد 2.5 مجم 60 كبسول
79743,NIXELECO 10SACHETS,auto_matched,NIXELECO 10 SACHETS,نيكسيليكو 10 اكياس
