product_name_ar,product_name_en,store_product_id,product_id,sale_price
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 1 ┘à╪¼┘à / ┘à┘ä ╪┤╪▒╪º╪¿ 100 ┘à┘ä,APEXIDONE 1 MG / ML SYRUP 100 ML,2453195.0,1066.0,60.0
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 1 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,APEXIDONE 1 MG 20 F.C.TAB.,901671.0,1065.0,54.0
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 2 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,APEXIDONE 2 MG 20 F.C.TAB.,1652210.0,1067.0,75.0
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 3 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APEXIDONE 3 MG 30 F.C.TAB.,901668.0,1068.0,126.0
╪º╪¿┘è┘â╪│┘è╪»┘ê┘å 4 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APEXIDONE 4 MG 30 F.C.TAB.,901669.0,1069.0,126.0
╪º╪¿┘è┘â┘ê╪º┘å╪¬┘è┘ä 600 ┘à╪¼┘à 4 ╪º┘é╪▒╪º╪╡,EPIQUANTEL 600 MG 4 F.C. TABS.,2643690.0,5279.0,32.0
╪º╪¿┘è┘â┘ê╪¿╪▒┘è╪» 20 ┘à╪¼┘à 20 ╪º┘é╪▒╪º╪╡,EPICOPRED 20 MG 20 ORODISPERSIBLE TABS.,2166857.0,5226.0,104.0
╪º╪¿┘è┘â┘ê╪¿╪▒┘è╪» 5 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPRED 5 MG 30 ORODISPERSIBLE TABS.,901677.0,5227.0,69.0
╪º╪¿┘è┘â┘ê╪¿┘å╪¬┘è┘å 100 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPENTIN 100 MG 30 F.C. TAB,2073381.0,72087.0,51.0
╪º╪¿┘è┘â┘ê╪¿┘å╪¬┘è┘å 300 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPENTIN 300 MG 30 CAPS,2506924.0,72088.0,96.0
╪º╪¿┘è┘â┘ê╪¿┘å╪¬┘è┘å 400 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPENTIN 400 MG 30 CAPS,901675.0,72089.0,126.0
╪º╪¿┘è┘â┘ê╪¿┘å╪¬┘è┘å 600 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPENTIN 600 MG 30 F.C.TABS,2532069.0,82748.0,102.0
╪º╪¿┘è┘â┘ê╪¿┘å╪¬┘è┘å 800 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,EPICOPENTIN 800 MG 30 F.C. TABS,2073363.0,82749.0,109.5
╪º╪¿┘è┘â┘ê╪¬┘è┘ä 20 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,EPICOTIL 20 MG 10 F.C.TAB.,2149193.0,5228.0,28.5
